EvaluationID,SlopeCollected,SlopeStartTransect,SlopeEndTransect,SlopeReachLength,TotalElevationChangePass1,TotalElevationChangePass2,TotalElevationChangePass3,SlopeMethod,SlopeFlag,PoolsCollected,PoolReachLength,RecordID
NPRA15-SS-9204_2016-07-02,Fully Collected,K,A,150,0.02,0.03,0.025,Transit,Within 20 percent,Not Collected,,NPRA15-SS-9204_2016-07-02
CC-LS-1000_2019-06-17,Fully Collected,K,A,150,1.43,1.53,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,80,CC-LS-1000_2019-06-17
CY-SS-1022_2017-07-29,Fully Collected,K,A,150,10.84,10.84,,Transit,Within 10 percent,Not Collected,,CY-SS-1022_2017-07-29
CR-SS-10365_2016-08-31,Fully Collected,A,K,150,12.015,12.08,,Transit,Within 10 percent,Fully Collected,120,CR-SS-10365_2016-08-31
GN-SS-12418_2017-09-25,Fully Collected,A,K,150,5.31,5.36,,Transit,Within 10 percent,Fully Collected,150,GN-SS-12418_2017-09-25
MB-TR-30566_2020-06-18,Fully Collected,A,K,150,6.65,6.65,,Transit,Within 10 percent,Collected No Pools Present,150,MB-TR-30566_2020-06-18
WR-LS-10717_2016-06-25,Fully Collected,A,K,150,1.47,1.44,,Transit,Within 10 percent,Fully Collected,150,WR-LS-10717_2016-06-25
IN-SS-064_2017-06-10,Fully Collected,A,K,150,2.35,2.39,,Transit,Within 10 percent,Fully Collected,150,IN-SS-064_2017-06-10
KS-LS-10257_2017-07-07,Fully Collected,A,K,150,0.71,0.71,,Transit,Within 10 percent,Fully Collected,150,KS-LS-10257_2017-07-07
PR-LS-14012_2017-07-31,Fully Collected,K,A,150,3.74,3.93,,Transit,Within 10 percent,Fully Collected,150,PR-LS-14012_2017-07-31
PR-RV-13644_2017-06-26,Fully Collected,K,A,215.6,0.62,0.63,,Transit,Within 10 percent,Fully Collected,215.6,PR-RV-13644_2017-06-26
WD-TR-1435_2019-08-20,Fully Collected,K,A,150,7.88,7.91,,Transit,Within 10 percent,Collected No Pools Present,75,WD-TR-1435_2019-08-20
W210O2_2016-08-19,Fully Collected,K,A,150,1.415,1.45,,Transit,Within 10 percent,Fully Collected,150,W210O2_2016-08-19
CF-LS-33866_2019-07-12,Fully Collected,A,K,150,6.68,6.7,,Transit,Within 10 percent,Fully Collected,150,CF-LS-33866_2019-07-12
WD-TR-1236_2020-07-08,Not Collected,,,,,,,null,,Fully Collected,1000,WD-TR-1236_2020-07-08
KN-RV-10217_2017-08-29,Fully Collected,K,A,610.4,0.33,0.35,,Transit,Within 10 percent,Collected No Pools Present,610.4,KN-RV-10217_2017-08-29
SA-LS-70750_2019-07-02,Fully Collected,A,K,150,2.14,2.15,,Transit,Within 10 percent,Fully Collected,150,SA-LS-70750_2019-07-02
RI-SS-1183_2019-08-14,Fully Collected,K,A,150,2.14,2.15,,Transit,Within 10 percent,Fully Collected,150,RI-SS-1183_2019-08-14
TRS-SS-12210_2017-08-03,Not Collected,,,,,,,null,,Partially Collected Due to Accessiblity or Interrupted Flow,105,TRS-SS-12210_2017-08-03
DKH-SS-1025_2018-08-13,Fully Collected,A,K,150,14.406,14.412,,Transit,Within 10 percent,Fully Collected,150,DKH-SS-1025_2018-08-13
PN-SS-10713_2017-07-25,Fully Collected,A,K,150,13.21,13.25,,Transit,Within 10 percent,Fully Collected,150,PN-SS-10713_2017-07-25
PO-SS-1000_2019-06-29,Fully Collected,K,A,150,2.84,2.85,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,140,PO-SS-1000_2019-06-29
TA-LS-22178_2017-07-06,Fully Collected,A,K,262.8,0.223,0.2214,,Transit,Within 10 percent,Fully Collected,262.8,TA-LS-22178_2017-07-06
SW-TR-1391_2019-06-28,Fully Collected,A,K,150,0.27,0.29,,Transit,Within 10 percent,Fully Collected,150,SW-TR-1391_2019-06-28
MP-SS-2162_2019-07-25,Fully Collected,K,A,,3.3,3.3,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,75,MP-SS-2162_2019-07-25
CTO-LS-1068_2019-07-26,Fully Collected,K,A,150,8.03,8.1,,Transit,Within 10 percent,Fully Collected,150,CTO-LS-1068_2019-07-26
BT-TR-1233_2019-08-11,Fully Collected,A,K,150,1.27,1.265,,Transit,Within 10 percent,Fully Collected,150,BT-TR-1233_2019-08-11
SA-LS-26910_2019-09-07,Partially Collected,C,K,120,0.68,0.67,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,120,SA-LS-26910_2019-09-07
TU-LS-47480_2019-07-14,Partially Collected,A,H,105,0.07,0.07,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,105,TU-LS-47480_2019-07-14
XN-SS-4163_2019-06-29,Fully Collected,A,K,150,7.1,7.18,,Transit,Within 10 percent,Fully Collected,150,XN-SS-4163_2019-06-29
WD-TR-1082_2019-09-06,Fully Collected,K,A,150,5.99,6.01,,Transit,Within 10 percent,Fully Collected,150,WD-TR-1082_2019-09-06
RA-RV-16901_2017-07-10,Fully Collected,K,A,150,0.18,0.19,,Transit,Within 10 percent,Collected No Pools Present,150,RA-RV-16901_2017-07-10
MS-LS-3001_2019-08-08,Fully Collected,K,A,200.08,2.87,2.88,,Transit,Within 10 percent,Fully Collected,200.08,MS-LS-3001_2019-08-08
RA-RV-10322_2020-09-03,Fully Collected,K,A,338.2,6.61,6.62,,Transit,Within 10 percent,Fully Collected,338.2,RA-RV-10322_2020-09-03
WD-TR-1375_2019-09-05,Not Collected,,,,,,,null,,Fully Collected,150,WD-TR-1375_2019-09-05
XE-LS-5014_2019-06-27,Fully Collected,A,K,150,3.25,3.03,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,75,XE-LS-5014_2019-06-27
WD-TR-020_2016-09-21,Fully Collected,A,K,150,0.62,0.62,,Transit,Within 10 percent,Fully Collected,150,WD-TR-020_2016-09-21
W404O2_2016-06-21,Fully Collected,K,A,150,1.04,1.05,,Transit,Within 10 percent,Fully Collected,150,W404O2_2016-06-21
BS-LS-1049_2017-08-09,Fully Collected,A,K,150,2.11,2.09,,Transit,Within 10 percent,Collected No Pools Present,150,BS-LS-1049_2017-08-09
CTO-SS-1090_2020-08-23,Fully Collected,A,K,150,6.95,6.95,,Transit,Within 10 percent,Fully Collected,150,CTO-SS-1090_2020-08-23
BT-RV-1004_2020-09-05,Not Collected,,,,,,,null,,Not Collected,,BT-RV-1004_2020-09-05
TR-LS-20658_2017-08-23,Fully Collected,K,A,150,0.385,0.4,,Transit,Within 10 percent,Fully Collected,150,TR-LS-20658_2017-08-23
FI-SS-17649_2017-07-04,Fully Collected,K,A,150,12.95,12,,Transit,Within 10 percent,Fully Collected,150,FI-SS-17649_2017-07-04
NW-TR-1197_2019-07-15,Fully Collected,K,A,150,8.04,8.27,,Transit,Within 10 percent,Fully Collected,150,NW-TR-1197_2019-07-15
AA-008-2016_2016-08-12,Fully Collected,K,A,150,7.8,7.77,,Transit,Within 10 percent,Not Collected,,AA-008-2016_2016-08-12
NC-SS-9144_2020-06-04,Fully Collected,A,K,150,9.61,8.54,9.67,Transit,Within 10 percent,Collected No Pools Present,150,NC-SS-9144_2020-06-04
PR-SS-10687_2016-06-15,Fully Collected,K,A,150,1.93,12.56,12.7,Transit,Within 10 percent,Fully Collected,150,PR-SS-10687_2016-06-15
CO-RV-72486_2020-08-10,Fully Collected,A,K,150,0.26,0.28,,Transit,Within 10 percent,No Flow Not Collected,116,CO-RV-72486_2020-08-10
RS-RV-12777_2019-08-15,Fully Collected,K,D,420.56,0.15,0.15,,Transit,Within 10 percent,Collected No Pools Present,420,RS-RV-12777_2019-08-15
NW-TR-1166_2019-08-12,Fully Collected,A,K,480.48,1.99,1.96,,Transit,Within 10 percent,Fully Collected,480.48,NW-TR-1166_2019-08-12
XN-RM-4072_2020-08-20,Not Collected,,,,,,,null,,Not Collected,,XN-RM-4072_2020-08-20
NO-TR-1142_2019-10-13,Partially Collected,A,F,75,0.21,0.21,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,75,NO-TR-1142_2019-10-13
BS-LS-1054_2018-08-02,Fully Collected,K,A,150,0.76,0.8,,Transit,Within 10 percent,Collected No Pools Present,150,BS-LS-1054_2018-08-02
BA-TR-1434_2019-08-26,Fully Collected,A,K,150,5.02,5.28,,Transit,Within 10 percent,Fully Collected,150,BA-TR-1434_2019-08-26
GR-TR-1044_2017-06-14,Fully Collected,A,K,150,4.03,3.88,,Transit,Within 10 percent,Fully Collected,150,GR-TR-1044_2017-06-14
MS-LS-3018_2018-06-18,Fully Collected,K,A,150,2.11,2.15,,Transit,Within 10 percent,Fully Collected,150,MS-LS-3018_2018-06-18
BR-SS-1137_2020-07-15,Not Collected,,,,,,,null,,Not Collected,,BR-SS-1137_2020-07-15
BS-TR-1494_2017-08-12,Fully Collected,A,K,150,1.94,1.9,,Transit,Within 10 percent,Not Collected,0,BS-TR-1494_2017-08-12
PO-RV-1025_2020-09-18,Fully Collected,A,K,635.2,3.29,3.26,,Transit,Within 10 percent,Fully Collected,635.2,PO-RV-1025_2020-09-18
CAS-TR-78945_2020-08-21,Fully Collected,K,A,150,0.32,0.35,,Transit,Within 10 percent,Fully Collected,150,CAS-TR-78945_2020-08-21
BSG-LS-1077_2019-08-09,Fully Collected,A,K,150,7.03,6.88,,Hand Level,Within 10 percent,Fully Collected,150,BSG-LS-1077_2019-08-09
BS-RV-1044_2017-08-07,Fully Collected,A,K,453.6,1.16,1.38,1.34,Transit,Within 10 percent,Fully Collected,453.6,BS-RV-1044_2017-08-07
SB-LS-22771_2017-07-04,Fully Collected,A,K,150,0.73,0.78,,Transit,Within 10 percent,Fully Collected,150,SB-LS-22771_2017-07-04
SW-TR-1293_2019-06-27,Fully Collected,A,K,150,0.99,1,,Transit,Within 10 percent,Collected No Pools Present,150,SW-TR-1293_2019-06-27
GJ-LS-10237_2016-08-19,Fully Collected,A,K,150,1.69,1.69,,Transit,Within 10 percent,Collected No Pools Present,150,GJ-LS-10237_2016-08-19
CF-SS-71322_2020-07-23,Fully Collected,K,A,150,6.02,5.88,,Transit,Within 10 percent,Fully Collected,150,CF-SS-71322_2020-07-23
TR-RV-11826_2017-08-30,Partially Collected,I,A,259.68,0.72,0.71,,Transit,Within 10 percent,Collected No Pools Present,260,TR-RV-11826_2017-08-30
BT-TR-1410_2019-10-07,Fully Collected,A,K,150,3.42,3.42,,Hand Level,Within 10 percent,Fully Collected,150,BT-TR-1410_2019-10-07
PO-RV-1009_2020-09-17,Fully Collected,K,A,687.6,1,4.12,4.42,Transit,Within 10 percent,Collected No Pools Present,687.6,PO-RV-1009_2020-09-17
US-LS-10822_2017-08-25,Fully Collected,K,A,150,0.86,0.89,,Transit,Within 10 percent,Collected No Pools Present,150,US-LS-10822_2017-08-25
MT-TR-1062_2019-09-13,Fully Collected,A,K,150,2.1,2.05,,Transit,Within 10 percent,Fully Collected,150,MT-TR-1062_2019-09-13
NPRA15-LS-9013_2016-07-09,Fully Collected,A,K,866.8,0.056,0.056,,Transit,Within 10 percent,Not Collected,,NPRA15-LS-9013_2016-07-09
MB-RV-1206_2018-10-03,Not Collected,,,,,,,null,,Not Collected,,MB-RV-1206_2018-10-03
GN-SS-10518_2016-08-04,Fully Collected,A,K,150,12.27,12.34,,Transit,Within 10 percent,Fully Collected,150,GN-SS-10518_2016-08-04
XN-SS-4128_2019-08-30,Partially Collected,K,B,135,5.63,5.78,,Transit,Within 10 percent,Fully Collected,150,XN-SS-4128_2019-08-30
RA-LS-11865_2020-08-21,Fully Collected,A,K,150,0.37,0.37,,Transit,Within 10 percent,Fully Collected,150,RA-LS-11865_2020-08-21
SB-SS-25359_2017-06-12,Fully Collected,K,A,150,38.48,38.72,,Transit,Within 10 percent,Fully Collected,150,SB-SS-25359_2017-06-12
FR-TR-1032_2019-08-29,Fully Collected,A,K,211.8,2.92,2.88,,Transit,Within 10 percent,Collected No Pools Present,211.8,FR-TR-1032_2019-08-29
RG-LS-10185_2017-08-24,Not Collected,,,,,,,null,,Not Collected,,RG-LS-10185_2017-08-24
AS-SS2-9014_2016-07-23,Fully Collected,K,A,150,3.22,,,Transit,Only one pass,Not Collected,,AS-SS2-9014_2016-07-23
FR-TR-008_2016-08-06,Fully Collected,A,K,150,11.24,11.17,,Transit,Within 10 percent,Fully Collected,150,FR-TR-008_2016-08-06
AA-006-2016_2016-08-11,Fully Collected,A,K,168,3.21,3.24,,Transit,Within 10 percent,Not Collected,,AA-006-2016_2016-08-11
XN-SS-4114_2019-10-18,Fully Collected,K,A,150,8.09,8.11,,Transit,Within 10 percent,Fully Collected,150,XN-SS-4114_2019-10-18
FA-RV-13554_2016-08-23,Not Collected,,,,,,,null,,Not Collected,,FA-RV-13554_2016-08-23
KN-RV-11689_2017-08-07,Fully Collected,K,A,150,0.54,0.54,,Transit,Within 10 percent,No Flow Not Collected,0,KN-RV-11689_2017-08-07
GJ-SS-12797_2017-07-05,Fully Collected,K,A,150,6.375,6.45,,Transit,Within 10 percent,Fully Collected,150,GJ-SS-12797_2017-07-05
WD-TR-1027_2019-09-18,Fully Collected,A,K,150,1.48,1.47,,Transit,Within 10 percent,Fully Collected,150,WD-TR-1027_2019-09-18
NPRA15-TR-009_2016-07-12,Fully Collected,A,K,265.6,0.093,0.087,,Transit,Within 10 percent,Not Collected,,NPRA15-TR-009_2016-07-12
PO-SS-1016_2020-07-07,Partially Collected,K,A,150,8.42,,,Transit,Only one pass,Fully Collected,150,PO-SS-1016_2020-07-07
XN-SS-4165_2020-08-07,Fully Collected,A,K,150,4.2,4.23,,Transit,Within 10 percent,Fully Collected,150,XN-SS-4165_2020-08-07
GL-SS-1134_2017-07-18,Fully Collected,K,A,205.6,16.525,16.59,,Transit,Within 10 percent,Collected No Pools Present,205.6,GL-SS-1134_2017-07-18
CF-LS-38470_2019-08-09,Fully Collected,A,K,150,2.01,1.98,,Transit,Within 10 percent,Fully Collected,150,CF-LS-38470_2019-08-09
GN-LS-10114_2016-07-12,Fully Collected,K,A,272.88,3.2,3.17,,Transit,Within 10 percent,Collected No Pools Present,,GN-LS-10114_2016-07-12
SU-SS-8344_2019-09-06,Fully Collected,A,K,152,3.82,3.51,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,105,SU-SS-8344_2019-09-06
TA-LS-22178_2017-07-22,Fully Collected,A,K,215.6,5.36,5.32,,Transit,Within 10 percent,Fully Collected,215.6,TA-LS-22178_2017-07-22
CY-RV-1033_2016-07-04,Fully Collected,K,A,306.4,0.37,0.13,,Transit,Not within 20 percent,Not Collected,,CY-RV-1033_2016-07-04
PR-LS-13759_2017-07-06,Fully Collected,A,I,150,8.67,8.58,,Transit,Within 10 percent,Fully Collected,150,PR-LS-13759_2017-07-06
TA-RV-18082_2017-06-14,Not Collected,,,,,,,null,,Not Collected,,TA-RV-18082_2017-06-14
CY-TR-1331_2017-08-14,Fully Collected,K,A,150,0.6,0.64,,Transit,Within 10 percent,Fully Collected,150,CY-TR-1331_2017-08-14
RA-TR-001_2016-08-16,Fully Collected,K,A,150,1.99,1.99,,Transit,Within 10 percent,Fully Collected,150,RA-TR-001_2016-08-16
BT-TR-1330_2019-08-09,Fully Collected,K,A,150,0.46,0.475,,Transit,Within 10 percent,Fully Collected,150,BT-TR-1330_2019-08-09
MS-SS-3095_2019-07-15,Fully Collected,A,K,150,16.15,16.89,,Transit,Within 10 percent,Collected No Pools Present,75,MS-SS-3095_2019-07-15
US-LS-15046_2019-06-30,Fully Collected,K,A,150,1.49,1.49,,Transit,Within 10 percent,Fully Collected,150,US-LS-15046_2019-06-30
PR-LS-13791_2017-07-16,Fully Collected,K,A,150,2.46,2.61,,Transit,Within 10 percent,Fully Collected,150,PR-LS-13791_2017-07-16
RA-LS-16633_2017-07-20,Fully Collected,A,K,281.2,1.71,1.71,,Transit,Within 10 percent,Fully Collected,281.2,RA-LS-16633_2017-07-20
WD-TR-1027_2017-10-18,Fully Collected,K,A,150,1.37,1.38,,Transit,Within 10 percent,Fully Collected,150,WD-TR-1027_2017-10-18
SL-LS-10465_2016-06-06,Fully Collected,K,A,151.76,0.04,0.05,0.05,Transit,Within 10 percent,No Flow Not Collected,,SL-LS-10465_2016-06-06
VE-RV-12189_2017-08-14,Partially Collected,F,K,75,0.38,0.36,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,75,VE-RV-12189_2017-08-14
XS-SS-6170_2019-10-22,Partially Collected,A,F,75,5.87,5.85,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,75,XS-SS-6170_2019-10-22
MT-SS-14386_2019-07-10,Fully Collected,A,K,150,2.57,2.53,,Transit,Within 10 percent,Fully Collected,150,MT-SS-14386_2019-07-10
XE-LS-5015_2019-09-10,Partially Collected,F,K,75,0.16,0.17,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,75,XE-LS-5015_2019-09-10
AR-LS-1229_2019-08-23,Partially Collected,A,F,75,0.39,0.42,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,90,AR-LS-1229_2019-08-23
CO-SS-28118_2020-07-25,Fully Collected,K,A,150,19.04,19.26,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,100,CO-SS-28118_2020-07-25
RG-LS-10889_2017-08-27,Not Collected,,,,,,,null,,Not Collected,,RG-LS-10889_2017-08-27
NW-TR-1015_2019-09-04,Partially Collected,I,A,652.8,0.07,0.07,,Transit,Within 10 percent,Not Collected,0,NW-TR-1015_2019-09-04
WD-TR-1435_2020-07-29,Fully Collected,A,K,150,7.56,7.69,,Transit,Within 10 percent,Collected No Pools Present,150,WD-TR-1435_2020-07-29
XN-LS-4020_2019-10-18,Not Collected,,,,,,,null,,Fully Collected,150,XN-LS-4020_2019-10-18
KN-SS-10985_2017-08-28,Fully Collected,A,K,212.8,0.53,0.53,,Transit,Within 10 percent,Fully Collected,212.8,KN-SS-10985_2017-08-28
VE-RV-12637_2017-06-21,Fully Collected,A,K,150,1.34,1.32,,Transit,Within 10 percent,Fully Collected,150,VE-RV-12637_2017-06-21
CY-SS-1035_2016-07-06,Fully Collected,A,K,150,12.71,12.5,,Transit,Within 10 percent,Not Collected,,CY-SS-1035_2016-07-06
KR-SS-10233_2016-08-05,Fully Collected,A,K,150,2.48,2.49,,Transit,Within 10 percent,Collected No Pools Present,150,KR-SS-10233_2016-08-05
RG-SS-11401_2017-06-21,Fully Collected,K,A,150,6.48,6.57,,Transit,Within 10 percent,Fully Collected,150,RG-SS-11401_2017-06-21
SW-TR-1500_2018-06-13,Fully Collected,K,A,250,0.29,0.27,0.25,Transit,Within 10 percent,Fully Collected,250,SW-TR-1500_2018-06-13
BA-TR-1212_2019-07-30,Fully Collected,K,A,150,6.41,6.4,,Transit,Within 10 percent,Fully Collected,150,BA-TR-1212_2019-07-30
RA-TR-1378_2017-09-12,Fully Collected,K,A,150,6.95,6.94,,Transit,Within 10 percent,Fully Collected,150,RA-TR-1378_2017-09-12
XE-SS-5113_2018-07-11,Fully Collected,K,A,150,2.83,2.88,,Transit,Within 10 percent,Fully Collected,150,XE-SS-5113_2018-07-11
XN-LS-4014_2019-10-04,Fully Collected,A,K,150,0.62,0.59,,Transit,Within 10 percent,Fully Collected,150,XN-LS-4014_2019-10-04
CAS-TR-84189_2020-07-27,Fully Collected,K,A,150,1.72,2.03,1.67,Transit,Within 10 percent,Fully Collected,150,CAS-TR-84189_2020-07-27
CO-LS-9442_2019-08-23,Fully Collected,A,K,150,2.93,2.86,,Transit,Within 10 percent,Fully Collected,150,CO-LS-9442_2019-08-23
MB-SS-15821_2018-09-13,Fully Collected,A,K,150,4.79,4.93,,Transit,Within 10 percent,Fully Collected,150,MB-SS-15821_2018-09-13
LS-RV-11065_2016-08-31,Fully Collected,A,K,150,0.35,0.34,,Transit,Within 10 percent,Fully Collected,150,LS-RV-11065_2016-08-31
LK-TR-1183_2019-06-21,Fully Collected,A,J,150,0.25,0.26,,Transit,Within 10 percent,No Flow Not Collected,0,LK-TR-1183_2019-06-21
LL-SS-1042_2019-09-19,Fully Collected,K,A,150,5.28,5.29,,Transit,Within 10 percent,Collected No Pools Present,150,LL-SS-1042_2019-09-19
TA-LS-14614_2016-06-25,Fully Collected,A,K,234.36,0.73,0.77,,Transit,Within 10 percent,Collected No Pools Present,232,TA-LS-14614_2016-06-25
GL-LS-1003_2016-08-14,Fully Collected,K,A,300,11.49,11.465,,Transit,Within 10 percent,Not Collected,,GL-LS-1003_2016-08-14
CY-SS-1129_2018-07-21,Fully Collected,K,A,150,21.115,21.135,,Transit,Within 10 percent,Not Collected,0,CY-SS-1129_2018-07-21
BRF-LS-1165_2020-07-14,Not Collected,,,,,,,null,,Not Collected,,BRF-LS-1165_2020-07-14
NW-TR-1322_2019-07-10,Fully Collected,A,K,150,6.48,6.45,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,130,NW-TR-1322_2019-07-10
NW-TR-1210_2019-07-25,Fully Collected,A,K,248.6,0.33,0.34,,Transit,Within 10 percent,Fully Collected,248.6,NW-TR-1210_2019-07-25
RA-TR-81250_2020-07-13,Fully Collected,A,K,150,0.98,0.97,,Transit,Within 10 percent,Collected No Pools Present,150,RA-TR-81250_2020-07-13
CR-SS-12605_2017-09-14,Fully Collected,K,A,150,23.96,23.99,,Transit,Within 10 percent,Fully Collected,150,CR-SS-12605_2017-09-14
SG-SS-1273_2019-10-08,Not Collected,,,,,,,null,,Partially Collected Due to Accessiblity or Interrupted Flow,75,SG-SS-1273_2019-10-08
SW-RV-11023_2017-07-21,Not Collected,,,,,,,null,,Not Collected,,SW-RV-11023_2017-07-21
RS-LS-10297_2017-06-05,Fully Collected,K,A,150,0.52,0.55,,Transit,Within 10 percent,Fully Collected,150,RS-LS-10297_2017-06-05
TF-LS-10152_2016-07-19,Fully Collected,A,K,170.84,2.91,2.92,,Transit,Within 10 percent,Fully Collected,150,TF-LS-10152_2016-07-19
NW-TR-1496_2019-06-28,Fully Collected,A,K,150,0.41,0.4,,Transit,Within 10 percent,Collected No Pools Present,150,NW-TR-1496_2019-06-28
XN-LS-4015_2019-10-20,Fully Collected,A,K,150,2.88,2.85,,Transit,Within 10 percent,Fully Collected,150,XN-LS-4015_2019-10-20
FI-RV-14028_2016-09-14,Partially Collected,K,F,191.66,0.035,0.03,,Transit,Within 20 percent,Partially Collected Due to Accessiblity or Interrupted Flow,210.65,FI-RV-14028_2016-09-14
CY-SS-1026_2016-07-05,Fully Collected,A,K,150,20.9,20.51,,Transit,Within 10 percent,Not Collected,,CY-SS-1026_2016-07-05
RG-LS-12194_2019-06-30,Not Collected,,,,,,,null,,Not Collected,0,RG-LS-12194_2019-06-30
RA-TR-1444_2017-09-14,Fully Collected,K,A,407.6,1.83,1.81,,Transit,Within 10 percent,Collected No Pools Present,407,RA-TR-1444_2017-09-14
BT-TR-1026_2019-09-09,Partially Collected,B,K,135,1.13,1.07,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,135,BT-TR-1026_2019-09-09
PO-LS-1006_2019-07-01,Fully Collected,K,A,150,2.97,3.1,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,140,PO-LS-1006_2019-07-01
CN-SS-39978_2019-08-08,Fully Collected,A,K,150,6.48,6.4,,Transit,Within 10 percent,Fully Collected,150,CN-SS-39978_2019-08-08
MP-SS-2071_2019-07-26,Partially Collected,A,K,90,6.79,6.7,,Transit,Within 10 percent,Fully Collected,150,MP-SS-2071_2019-07-26
RG-LS-12834_2018-08-28,Fully Collected,A,K,150,9.7,9.74,,Transit,Within 10 percent,Collected No Pools Present,60,RG-LS-12834_2018-08-28
BT-SS-1340_2019-08-10,Fully Collected,A,K,150,7.61,7.57,,Transit,Within 10 percent,Fully Collected,150,BT-SS-1340_2019-08-10
MB-RV-10514_2017-08-15,Fully Collected,K,A,575.2,0.36,0.38,,Transit,Within 10 percent,Collected No Pools Present,,MB-RV-10514_2017-08-15
TA-LS-16034_2017-07-17,Fully Collected,A,K,150,4.883,4.809,,Transit,Within 10 percent,Fully Collected,150,TA-LS-16034_2017-07-17
SL-SS-16465_2017-10-03,Fully Collected,A,K,150,4.99,5,,Transit,Within 10 percent,Fully Collected,150,SL-SS-16465_2017-10-03
XE-LS-5004_2019-05-31,Fully Collected,F,K,150,0.57,0.53,,Transit,Within 10 percent,Fully Collected,150,XE-LS-5004_2019-05-31
PWS-SR-44063_2018-09-12,Fully Collected,A,K,497.6,1.22,1.4,1.23,Transit,Within 10 percent,Fully Collected,497.6,PWS-SR-44063_2018-09-12
BO-SS-10238_2016-09-26,Not Collected,,,,,,,null,,Partially Collected Due to Accessiblity or Interrupted Flow,90,BO-SS-10238_2016-09-26
VB-TR-1361_2019-06-21,Fully Collected,A,K,150,6.33,6.37,,Transit,Within 10 percent,Fully Collected,150,VB-TR-1361_2019-06-21
XE-SS-5098_2019-07-28,Fully Collected,A,K,150,2.24,2.21,,Transit,Within 10 percent,Fully Collected,150,XE-SS-5098_2019-07-28
WD-TR-020_2018-07-25,Fully Collected,A,K,150,0.66,0.65,,Transit,Within 10 percent,Fully Collected,150,WD-TR-020_2018-07-25
NW-TR-1231_2018-09-13,Fully Collected,K,A,150,4.01,3.95,,Transit,Within 10 percent,Fully Collected,150,NW-TR-1231_2018-09-13
PO-SS-1013_2020-07-10,Fully Collected,A,K,169.04,5.12,5.39,,Transit,Within 10 percent,Fully Collected,169.04,PO-SS-1013_2020-07-10
KA-SS-1073_2019-07-16,Fully Collected,A,K,150,4.26,4.25,,Transit,Within 10 percent,Collected No Pools Present,150,KA-SS-1073_2019-07-16
CY-TR-1488_2017-08-18,Fully Collected,K,A,150,3.19,3.25,,Transit,Within 10 percent,Not Collected,0,CY-TR-1488_2017-08-18
CAS-TR-25148_2020-07-09,Fully Collected,K,A,249.8,0.6,0.43,0.47,Hand Level,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,175,CAS-TR-25148_2020-07-09
VM-TR-1295_2019-07-14,Partially Collected,A,F,75,2.1,2.14,,Transit,Within 10 percent,Fully Collected,150,VM-TR-1295_2019-07-14
KN-SS-10337_2017-09-06,Fully Collected,A,K,150,1.57,1.55,,Transit,Within 10 percent,Fully Collected,150,KN-SS-10337_2017-09-06
XE-SS-5129_2017-06-28,Partially Collected,F,K,75,9.39,9.4,,Transit,Within 10 percent,Partially Collected Due to Accessiblity or Interrupted Flow,75,XE-SS-5129_2017-06-28
SA-LS-14602_2017-07-21,Fully Collected,A,K,225.6,3.74,3.71,,Transit,Within 10 percent,Collected No Pools Present,225.6,SA-LS-14602_2017-07-21
VB-TR-1072_2019-10-05,Fully Collected,A,K,150,2.13,2.13,,Transit,Within 10 percent,Fully Collected,150,VB-TR-1072_2019-10-05
XS-RM-6077_2019-06-28,Fully Collected,A,K,213.88,0.02,0.02,,Transit,Within 10 percent,Collected No Pools Present,213.88,XS-RM-6077_2019-06-28
TU-LS-75538_2020-08-22,Fully Collected,A,K,475.6,0.45,0.47,,Transit,Within 10 percent,Fully Collected,475.6,TU-LS-75538_2020-08-22
GL-LS-1127_2019-07-14,Fully Collected,A,K,150,1.65,1.61,,Transit,Within 10 percent,Collected No Pools Present,150,GL-LS-1127_2019-07-14
HD-TR-1452_2017-08-27,Fully Collected,K,A,150,5.38,5.39,,Transit,Within 10 percent,Fully Collected,150,HD-TR-1452_2017-08-27
XN-SS-4118_2019-09-07,Fully Collected,A,K,150,2.39,2.4,,Transit,Within 10 percent,Fully Collected,150,XN-SS-4118_2019-09-07
